timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
745918,4.0,6.5,-6.7,-1.2,0.4,0.1
746435,4.4,9.8,-0.7,0.2,-0.2,-0.0
746975,4.1,8.0,0.6,2.6,-1.1,0.0
747515,1.75,-0.6,-9.0,0.3,-0.4,-0.0
748084,-0.6,-1.6999999999999997,-9.9,0.4,-0.2,-0.1
748655,-1.1,-2.8,-11.5,0.5,-0.3,-0.1
749224,-1.8,-5.5,-6.1,1.5,-0.7,0.1
749765,-4.2,-7.9,0.5,1.0,-0.8,0.0
750395,-3.8,-9.1,-0.3,-0.4,0.2,0.1
750965,-3.1,-6.0,-5.7,-1.3,0.8,-0.1
751505,0.4,-1.0,-11.1,-0.9,0.4,-0.1
752045,0.9,0.6,-9.8,0.0,-0.0,-0.1
752585,0.3,-2.1,-10.8,1.5,-0.7,0.1
753155,-3.0,-6.8,-4.9,1.3,-0.8,0.2
753695,-3.7,-8.6,-3.1,0.4,-0.4,-0.2
754295,-3.7,-7.0,-1.3,-1.2,0.5,0.1
754835,-1.9,-2.9,-9.8,-1.3,0.8,-0.0
755405,0.9,0.3,-10.5,-0.2,0.1,-0.3
755944,0.6,-0.1,-11.1,0.5,-0.2,0.1
756515,-0.8,-4.0,-8.8,1.9,-1.0,0.2
757085,-4.3,-7.7,2.0,0.7,-0.7,-0.1
757685,-3.4,-8.3,0.6,-0.9,0.6,0.1
758224,-2.5,-4.3,-8.5,-1.3,0.6,-0.2
758765,1.1,0.6,-10.8,-0.9,0.4,-0.2
759305,1.5,1.8,-9.7,0.3,-0.2,0.0
759845,-0.0,-2.0,-10.8,1.8,-0.9,0.2
760384,-1.95,-6.1,-1.0,1.7,-1.0,0.0
760924,-3.9,-8.3,1.9,-0.4,0.2,-0.0
761464,-2.4,-4.9,-5.8,-1.3,0.5,-0.0
762035,-0.2,-0.5,-11.6,-1.0,0.6,0.0
762605,0.6,1.2,-10.4,0.3,-0.0,-0.1
763174,0.3,-2.1,-10.8,1.8,-0.9,0.2
763745,-3.5,-6.8,-0.1,0.9,-0.7,0.0
764284,-3.7,-8.3,1.1,-0.9,0.5,0.1
764884,-2.5,-3.2,-9.6,-1.2,0.6,-0.0
765455,1.0,0.9,-10.2,-0.3,0.2,-0.2
765994,0.9,0.3,-11.4,0.9,-0.3,-0.0
766535,-1.7,-4.3,-8.3,1.4,-0.8,0.2
767105,-4.0,-8.8,2.3,0.7,-0.6,-0.2
767645,-3.2,-6.9,-2.2,-1.1,0.6,0.1
768185,-0.7,-2.9,-10.3,-1.0,0.7,-0.2
768754,0.5,-2.15,-10.1,-0.2,-0.1,-0.2
769294,0.4,-1.4,-11.4,1.0,-0.3,0.2
769834,-2.0,-5.6,-6.2,1.8,-0.9,0.1
770404,-4.1,-8.7,2.6,0.1,-0.2,0.1
771004,-2.5,-4.7,-6.5,-1.6,0.7,-0.1
771575,0.6,-0.2,-10.7,-0.8,0.4,-0.2
772145,0.5,-0.5,-11.3,0.9,-0.5,0.1
772714,-1.6,-4.7,-7.7,1.9,-1.0,0.1
773315,-4.8,-9.4,3.4,0.1,-0.3,-0.0
773884,-2.4,-5.9,-5.0,-1.6,0.8,0.0
774424,-0.9,-1.3,-11.2,-1.4,0.6,-0.0
775025,0.3,-0.2,-11.3,0.4,-0.1,-0.1
775594,-1.6,-4.5,-8.5,1.9,-1.0,0.2
776195,-3.9,-10.2,-6.15,0.4,-0.4,-0.1
776734,-2.8,-5.7,-3.8,-1.6,0.7,0.1
777305,0.1,-1.0,-6.266666666666666,-1.0,0.7,-0.1
777875,0.6,0.7,-8.733333333333333,-0.1,-0.1,-0.2
778415,-0.2,-1.8,-11.2,1.7,-0.9,0.2
778955,-3.1,-5.9,-3.4,1.8,-0.9,-0.1
779495,-3.2,-7.7,0.3,-1.1,0.5,-0.0
780065,-1.1,-3.1,-8.1,-1.3,0.6,-0.1
780695,1.7,1.5,-10.2,-0.1,0.1,-0.2
781265,2.2,3.1,-9.0,-0.0,-0.1,-0.0
781834,2.4,3.7,-8.8,-0.1,-0.0,-0.0
782375,2.6,4.0,-8.6,0.1,-0.1,-0.0
782915,2.8,4.2,-8.4,0.0,-0.1,-0.0
783455,3.1,4.3,-8.2,0.0,-0.0,0.1
784025,6.4,3.3,-6.3,0.1,0.6,0.8
784685,8.7,-0.1,-4.9,0.4,-0.0,0.2
785405,8.7,-4.1,-0.6,-0.0,-0.0,0.2
