timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2296856,0.3,0.3,9.8,0.1,-0.1,-0.0
2297434,0.55,0.2,11.5,0.4,-0.2,-0.0
2298065,0.8,0.5666666666666667,10.2,0.35,-0.1,0.0
2298694,0.8,0.9333333333333333,10.3,0.3,-0.1,0.0
2299354,0.75,1.3,10.3,0.1,-0.1,0.0
2300014,0.7,1.0,7.7,0.3,-0.1,0.0
2300654,0.8,1.35,5.1,-0.6,0.1,0.0
2301314,0.9,1.7,9.7,-0.3,-0.1,-0.0
2301934,0.8,1.1,10.55,0.0,-0.1,-0.05
2302724,0.7,0.6,11.4,0.15,-0.1,-0.1
2303285,1.0,2.3,9.7,0.3,-0.1,-0.0
2303854,0.8,1.8499999999999999,10.0,0.2,-0.1,-0.05
2304463,0.9,1.4,12.0,0.4,-0.15000000000000002,-0.1
2305234,0.7,1.9,8.8,0.6,-0.2,0.0
2305804,0.7,1.8,9.8,0.2,-0.1,-0.0
2306434,0.7,1.6,11.5,-0.2,-0.0,-0.1
2307035,0.8,1.4,10.7,0.0,0.0,-0.1
2307724,0.9,2.0,9.9,0.2,-0.1,-0.1
2308422,0.8,2.0,11.2,-0.14999999999999997,-0.1,-0.1
2309074,0.7,1.8,6.1,-0.5,-0.1,-0.0
2309705,0.7,2.4,9.6,0.2,-0.1,0.0
2310334,0.8,1.5,10.6,0.15000000000000002,-0.1,-0.0
2310964,0.65,1.0,10.2,0.1,-0.0,-0.0
2311744,0.5,2.3,10.1,0.225,-0.1,-0.0
2312375,0.9,1.5,11.2,0.35,-0.1,-0.1
2313094,0.8,0.7,11.0,0.475,-0.1,-0.1
2313664,0.8,1.4,10.3,0.6,-0.2,-0.05
2314274,0.8,1.15,11.8,-0.4,0.0,-0.0
2314804,0.6,0.9,11.0,-0.30000000000000004,-0.1,-0.0
2315494,0.75,1.7,10.3,-0.2,-0.1,0.0
2316133,0.9,1.2,9.6,-0.1,-0.1,-0.0
2316664,0.75,1.0,10.4,-0.0,-0.1,-0.1
2317324,0.6,0.4,11.5,-0.3,-0.1,-0.1
2317984,0.8,0.8,9.7,0.5,-0.1,-0.07500000000000001
2318563,0.4,1.0,11.9,-0.2,-0.15000000000000002,-0.05
2319233,0.7,1.0,11.8,-0.1,-0.2,-0.025
2319763,0.5,1.0,7.1,-0.4,0.0,0.0
2320414,0.5,1.0,7.6,-0.35,-0.05,0.0
2321074,0.33333333333333337,0.75,8.1,-0.3,-0.1,-0.0
2321793,0.16666666666666669,0.5,8.6,-0.0,-0.1,-0.0
2322484,0.0,0.5,11.4,-0.05,-0.1,-0.0
2323204,0.6,0.9,10.65,-0.1,-0.1,0.0
2323923,0.5,1.1,9.9,0.1,-0.1,-0.03333333333333333
2324713,0.8,1.3,10.1,-0.0,-0.05,-0.06666666666666667
2325323,0.6,1.5,10.1,-0.0,0.0,-0.1
