timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1859319,2.6,7.7,-2.3,-0.2,-0.4,-0.4
1859833,0.5,9.9,-1.9,0.7,-0.4,-0.0
1860433,2.2,8.8,-4.0,0.0,-0.0,0.0
1861034,2.5,8.5,-4.3,0.2,-0.0,-0.0
1861664,2.7,8.0,-4.8,0.1,0.1,0.1
1862204,3.1,7.8,-5.6,-0.0,-0.0,-0.1
1862744,2.6,8.3,-4.9,0.2,-0.2,-0.1
1863283,2.8,7.9,-5.8,-0.0,-0.0,-0.05
1863893,2.5999999999999996,9.1,-5.9,-0.7,-0.1,-0.0
1864454,2.4,6.9,-5.2,-1.4,0.1,-0.2
1865053,1.3,8.5,-4.8,-0.0,-0.3,-0.2
1865593,1.3,9.1,-1.9,0.5,-0.2,0.2
1866133,2.2,7.6,-3.6,-0.1,0.0,-0.0
1866673,2.6,8.8,-4.4,0.8,-0.1,0.0
1867252,3.0,6.7,-8.1,0.7,-0.1,0.0
1867783,2.6,6.25,-7.5,0.2,-0.3,-0.1
1868383,1.4,5.8,-8.1,0.0,-0.2,-0.0
1868923,0.8,7.9,-5.7,-1.0,0.0,-0.1
1869523,-0.1,7.9,-2.8,0.1,-0.0,0.1
1870063,1.5,7.3,-3.8,0.6,-0.1,-0.1
1870664,1.8,7.4,-6.2,1.0,-0.2,-0.05
1871273,2.4,7.6,-7.6,0.6,-0.2,0.0
1871862,2.9,8.2,-7.6,-0.1,-0.1,-0.0
1872523,1.9,7.7,-5.5,-0.8,0.0,-0.1
1873124,1.8,8.7,-4.1,-0.4,-0.1,-0.1
1873664,2.2,7.8,-4.7,0.3,-0.2,-0.2
1874204,1.1,8.7,-5.4,0.3,0.0,-0.1
1874744,2.4,6.7,-7.4,0.1,0.2,0.1
1875313,3.5,8.2,-7.5,-0.5,-0.0,-0.0
1875914,1.7,6.9,-6.5,0.1,-0.3,-0.1
1876454,1.9,8.0,-4.5,-1.0,-0.0,-0.1
1876994,1.8,7.8,-4.4,0.6,-0.3,-0.1
1877534,0.8,8.5,-6.3,0.5,-0.1,-0.1
1878074,1.8,7.5,-6.6,0.3,0.2,0.1
1878643,3.2,7.3,-6.9,0.1,-0.0,0.0
1879183,2.7,6.1,-6.5,-0.4,-0.2,-0.0
1879753,2.1,6.75,-4.9,-0.9,-0.0,-0.2
1880353,2.0,7.4,-4.8,0.1,-0.2,-0.1
1880893,0.5,8.0,-4.0,0.9,-0.2,-0.1
1881433,1.8,7.2,-5.8,0.7,0.1,0.1
1881973,2.8,6.0,-8.5,0.6,0.1,-0.0
1882543,4.2,1.6,-8.3,1.1,0.25,-0.1
1883173,7.2,-2.7,-6.5,1.1,0.4,-0.5
1883803,8.35,-3.2,-3.5,0.1,0.2,-0.2
1884403,9.5,-2.2,-2.85,0.1,-0.1,-0.1
1885003,9.4,-1.7,-2.2,0.1,-0.0,0.0
1885693,9.3,-2.1,-2.2,0.1,-0.0,0.0
