timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4251626,1.0,2.6,8.6,-3.3,0.7,-0.0
4252141,0.7,-0.3,9.9,1.4,-0.6,-0.2
4252681,0.6,-3.7,9.0,0.0,-0.0,-0.0
4253250,-0.04999999999999993,-3.5,8.9,0.0,-0.0,-0.0
4253851,-0.7,-2.0,10.5,1.7,-0.6,0.3
4254420,-1.7,-4.4,8.5,-2.8,0.6,-0.2
4254991,-1.1,-9.8,-0.1,-0.0,-0.1,-0.0
4255561,-1.9,-10.2,0.5,-0.3,-0.05,0.0
4256191,-1.1,-9.3,-0.8,-0.4,0.0,0.0
4256759,-0.3,-2.5,-8.9,3.4,-0.8,-0.0
4257361,1.6,2.0,-10.7,-0.1,0.0,-0.1
4257991,0.7,3.0,-10.0,-0.2,-0.3,-0.2
4258621,0.1,4.4,-8.7,-0.9,0.3,-0.1
4259291,-0.2,4.0,-9.7,0.7,-0.3,0.0
4259791,0.35000000000000003,2.8,-9.3,0.1,-0.1,0.0
4260430,0.9,2.8,-8.9,0.1,-0.1,0.0
4261081,1.2,1.9,-8.9,-0.4,-0.1,-0.1
4261710,-0.4,2.6,-9.0,0.3,-0.1,-0.1
4262340,0.7,1.2,-9.6,0.25,-0.1,-0.1
4262970,0.3,1.8,-8.6,0.2,-0.2,-0.1
4263541,1.0,3.3500000000000005,-8.933333333333334,0.15,-0.1,0.0
4268603,1.6,4.9,-9.266666666666666,0.1,0.0,0.1
4269300,1.2,4.566666666666666,-9.6,0.4,-0.2,0.08
4269940,1.0,4.233333333333333,-8.2,-0.6,0.1,0.060000000000000005
4270571,0.9,3.9,-9.45,-0.0,0.0,0.04000000000000001
4271240,0.7999999999999999,3.433333333333333,-10.7,-0.62,-0.1,0.020000000000000004
4272010,0.7,2.966666666666667,-6.2,-1.24,-0.1,0.0
4272600,1.7999999999999998,2.5,-9.3,-1.8599999999999999,-0.0,-0.03333333333333333
4273240,2.8999999999999995,3.7,-5.4,-2.48,0.4,-0.06666666666666667
4295849,4.0,4.9,-1.5,-3.1,0.8,-0.1
4296331,4.0,0.4,11.7,-2.4,0.6,-0.1
4296940,-1.0,0.4,10.8,0.8,0.4,-0.1
