timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2949106,2.9,8.7,5.5,-0.7,0.1,0.0
2949690,1.9,6.8,5.5,-0.2,0.1,0.0
2950291,2.3,7.949999999999999,5.5,0.3,-0.1,0.0
2950911,2.7,9.1,4.3,0.9,-0.3,-0.1
2951541,2.5,10.1,3.2,0.3,-0.2,-0.1
2952110,2.4,9.5,2.9000000000000004,0.1,-0.1,-0.0
2952800,2.3,8.4,2.6,-0.0,-0.05,-0.0
2953460,2.6,9.6,2.7,-0.3,0.0,-0.0
2954061,2.0,6.8,7.2,0.1,-0.1,-0.1
2954661,0.8,4.6,8.6,-1.3,0.2,-0.1
2955260,-1.3,-3.1,8.1,-2.3,0.4,-0.1
2955800,-1.9,-6.9,7.1,-1.1,0.2,-0.05
2956411,-1.7,-6.95,6.4,0.1,-0.1,-0.0
2956941,-1.7,-7.0,6.8,0.3,-0.1,-0.0
2957481,-1.5,-6.1,7.2,0.3,-0.1,-0.0
2958081,-1.25,-5.4,8.4,0.25,-0.1,-0.1
2958710,-1.0,-4.300000000000001,10.4,0.2,-0.1,-0.05
2959350,-0.7,-3.2,9.6,0.2,-0.2,-0.0
2959910,-0.2,-2.1,9.0,0.6,-0.3,0.0
2960481,-0.3,-2.0,8.7,0.6,-0.2,0.0
2961140,-0.16666666666666666,-1.1,9.8,0.3,-0.1,-0.1
2961770,-0.033333333333333326,-0.2,9.95,0.1,-0.1,-0.1
2962340,0.1,-0.1,10.1,0.2,-0.1,-0.0
2962880,0.1,-0.2,9.6,0.0,-0.1,0.0
2963541,0.2,0.1,9.9,0.1,-0.1,-0.0
2964201,-0.0,0.5,10.2,0.2,-0.15000000000000002,-0.1
2964860,0.2,0.8999999999999999,10.3,0.3,-0.2,-0.1
2965550,0.30000000000000004,1.3,10.9,0.2,-0.1,-0.0
2966121,0.4,0.8,10.45,0.3,-0.2,0.0
2966720,0.1,0.8,10.0,-0.4,-0.1,-0.0
2967260,0.2,0.9,9.8,-0.5,0.0,-0.05
2967959,0.2,1.25,10.2,-0.2,-0.1,-0.1
2968581,0.4,1.6,10.0,0.1,-0.1,-0.1
2969149,0.4,1.4,9.8,0.0,-0.1,-0.0
2969719,0.30000000000000004,1.2,9.7,0.2,-0.1,0.0
2970291,0.2,1.1,10.0,0.2,-0.2,-0.0
2970860,0.4,1.6,9.7,0.2,-0.1,-0.1
2971430,0.325,1.0,10.3,0.4,-0.2,-0.1
2972090,0.25,1.5,10.7,0.2,-0.1,-0.0
2972750,0.175,1.6,10.0,0.2,-0.1,0.0
2973380,0.1,1.0,10.0,-0.0,-0.0,-0.0
2973949,0.2,1.0,9.6,0.2,-0.1,-0.0
2974550,0.4,1.3,9.7,0.1,-0.1,-0.1
2975150,0.5,1.8,10.3,0.0,-0.1,-0.0
2975780,0.9,2.7,11.7,0.1,-0.1,-0.0
2976320,0.5,1.7,8.9,-0.2,-0.0,-0.0
2976920,0.4,1.4,9.9,-0.1,-0.1,-0.0
2977460,0.3,1.4,10.0,0.1,-0.0,-0.1
2978060,0.3,1.4,10.3,0.3,-0.1,-0.0
2978600,0.5,2.0,10.3,0.2,-0.1,-0.0
2979170,0.4,2.2,9.9,0.0,-0.1,0.0
2979750,0.4,1.4,8.6,-0.4,0.0,-0.0
2980310,0.5,1.7,9.7,0.0,-0.1,-0.1
2980940,0.4,1.6,9.9,0.0,-0.1,-0.1
2981480,0.5,2.6,10.1,-0.1,-0.1,-0.0
2982050,0.55,3.5,11.3,0.3,-0.1,-0.0
2982620,0.6,2.5,9.3,0.1,-0.1,-0.0
2983279,0.3,1.6,9.8,-0.0,-0.1,-0.0
2983880,0.4,1.6,10.0,0.1,-0.1,-0.1
2984450,0.3,2.0,10.1,0.1,-0.1,-0.0
2985020,0.5,2.05,11.2,0.2,-0.1,-0.0
2985560,0.4,2.1,9.9,0.2,-0.1,-0.0
2986160,0.3,1.2,9.4,-0.5,0.0,-0.0
2986760,0.4,1.7,8.9,1.2,-0.3,-0.0
2987360,0.4,1.9,10.2,0.4,-0.2,0.0
2987940,0.6,2.6,10.35,0.2,-0.15000000000000002,0.0
2988549,0.5,2.9,10.5,0.1,-0.1,-0.0
2989130,0.5,1.9,9.4,0.1,-0.1,0.0
2989740,0.6,2.1,9.8,1.0,-0.3,-0.0
2990270,0.2,1.6,9.6,-0.3,0.0,-0.1
2990810,0.5,2.5,9.8,-0.04999999999999999,-0.1,-0.1
2991350,0.6,2.8,10.3,0.2,-0.1,-0.1
2991950,0.7,3.0,9.6,0.0,-0.1,-0.1
2992490,0.0,0.6,9.85,-0.2,-0.0,-0.05
2993160,-0.8,-2.5,10.1,0.8,-0.3,-0.0
2993720,-0.6,-2.4,9.5,0.6,-0.2,-0.0
2994440,0.1,-0.1,10.5,0.6,-0.1,-0.0
2995049,0.5,-0.1,10.3,0.6,-0.1,-0.0
