timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
544892,1.1,-3.5,-9.1,-1.7,0.6,-0.0
545407,3.5,4.7,-7.9,-0.6,-0.1,-0.1
545947,1.2,-0.2,-10.2,3.1,-1.1,0.2
546487,-1.6,-7.9,-5.6,1.0,-0.5,-0.1
547027,-1.3,-8.9,-3.9,0.3,-0.3,-0.2
547596,-1.2,-8.9,-2.8,0.1,-0.2,0.0
548136,-2.4,-8.2,-5.2,1.1500000000000001,-0.4,0.2
548767,-1.9,-9.6,1.1,2.2,-1.1,-0.1
549457,-1.85,-9.0,3.2,-0.7,-0.1,-0.0
550056,-1.8,-9.2,-1.6,-1.0,0.3,0.1
550596,-1.8,-7.4,-4.6,-0.1,0.1,0.0
551136,-4.0,-10.8,1.9,0.2,0.1,0.2
551676,-3.3,-9.0,3.8,-0.0,-0.1,-0.1
552247,-3.9,-8.0,3.6,0.4,-0.3,0.3
552787,-3.7,-8.7,1.5,0.2,-0.1,-0.2
553386,-3.5,-8.5,3.5,0.7,-0.4,0.0
553957,-3.7,-8.5,3.5,-0.7,0.3,-0.0
554497,-3.9,-9.0,-0.6,-0.3,0.1,-0.1
555067,-3.9,-8.7,-1.3,0.2,-0.2,-0.0
555666,-3.7,-8.9,-0.8,0.1,-0.1,-0.0
556237,-3.3,-9.4,-3.8,-0.8,0.4,-0.2
556836,-1.0,-4.4,-7.4,-0.7,0.3,0.0
557407,0.6,-0.7,-9.0,-0.3,0.1,0.0
557947,-0.8,-4.3,-8.1,0.9,-0.4,-0.1
558517,-2.4,-8.3,-4.6,0.6,-0.3,-0.0
559086,-3.1,-9.15,-2.5,0.4,-0.3,0.0
559687,-3.5,-10.0,-3.0,0.1,-0.09999999999999998,-0.1
560227,-3.1,-9.0,-3.5,-0.5,0.1,-0.0
560827,-1.6,-6.1,-6.5,-0.4,0.2,-0.2
561427,0.4,-3.1,-8.5,-0.2,-0.1,-0.2
561997,-1.2,-6.1,-7.2,0.8,-0.4,0.0
562626,-2.0,-8.3,-5.0,0.1,-0.1,0.1
563256,-3.3,-9.0,-2.4,0.4,-0.2,0.0
563827,-3.4,-9.1,-0.7,0.3,-0.2,-0.1
564487,-3.6,-9.8,-1.3,-0.6,0.1,-0.1
565057,-2.6,-7.2,-5.3,-0.7,0.2,0.0
565626,-0.7,-3.6,-8.6,-0.9,0.3,-0.1
566197,0.3,-1.5,-9.4,0.8,-0.3,-0.0
566737,-0.9,-5.1,-7.8,0.4,-0.1,-0.1
567336,-2.1,-8.3,-4.5,0.8,-0.3,-0.0
567937,-2.8,-9.0,-2.7,0.6,-0.3,0.1
