timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1296595,-1.5,,-2.1,,,-0.0
1297198,-1.7,,-1.5,-0.1,,0.0
1297997,-1.9,,-1.85,-0.2,-0.1,-0.0
1298607,-1.8,-8.8,-2.2,-0.3,-0.06666666666666668,-0.1
1299238,-0.5,-5.1,-0.9,1.5,-0.03333333333333334,-0.1
1299927,-1.2,-8.5,-2.5,0.85,-0.0,0.0
1300618,-1.4,-8.166666666666666,-4.8,0.2,-0.1,-0.0
1301248,-1.45,-7.833333333333333,-4.6,0.6,-0.2,-0.0
1301908,-1.5,-7.5,-4.4,0.15000000000000002,-0.1,-0.05
1302577,-1.9,-8.0,-4.2,-0.3,0.0,-0.1
1303257,-0.8,-8.5,-4.833333333333333,0.04999999999999999,-0.1,-0.1
1303948,-1.7,-8.2,-5.466666666666667,0.4,-0.1,0.0
1304547,-2.0,-13.2,-6.1,0.3,-0.1,-0.1
1305177,-1.85,-8.0,-2.8,0.0,-0.1,0.0
1305868,-1.7,-8.7,-3.4,-0.3,0.0,-0.03333333333333333
1306507,-1.3,-9.0,-4.4,0.10000000000000003,-0.1,-0.06666666666666667
1307166,-1.9,-9.7,-4.5,0.5,-0.05,-0.1
1307788,-1.5,-7.9,-4.65,-0.1,0.0,0.0
1308417,-1.1,-7.8,-4.8,-0.7,-0.05,-0.05
1309067,-0.7,-8.7,-4.0,0.0,-0.1,-0.1
1309587,-1.5,-9.6,-4.4,0.35,-0.3,-0.06666666666666668
1310226,-1.8,-8.899999999999999,-4.8,0.7,-0.2,-0.03333333333333334
1310836,-1.3,-8.2,-3.7,0.1,-0.1,-0.0
1311477,-1.3,-8.0,-2.6,0.05,-0.1,-0.1
1312137,-1.65,-8.9,-3.9,-0.0,-0.1,0.0
1312828,-2.0,-9.8,-4.1,0.2,-0.1,-0.1
1313467,-3.4,-13.8,-0.1,0.0,-0.1,-0.2
1314057,-1.4,-9.1,-0.0,0.1,-0.1,-0.15000000000000002
1314666,-1.5,-8.6,-0.6,-0.19999999999999998,-0.0,-0.1
1315317,-1.1,-8.1,-1.65,-0.5,0.0,-0.07500000000000001
1315987,-0.1,-8.4,-2.7,-0.3,-0.1,-0.05
1316586,-1.0,-9.6,-2.2333333333333334,-0.1,-0.1,-0.024999999999999994
1317187,-1.7,-10.0,-1.7666666666666666,0.5,-0.1,0.0
1317807,-2.3,-12.9,-1.3,0.1,-0.1,-0.1
1318497,-1.5,-10.8,-1.8,-0.0,0.0,-0.1
1319187,-1.6666666666666667,-8.7,-1.9,0.35,-0.0,-0.05
1319827,-1.8333333333333333,-10.5,-1.65,0.7,-0.3,0.0
1320416,-2.0,-9.5,-1.4,0.3,-0.26666666666666666,0.0
1321096,-1.6,-9.7,-1.45,0.3,-0.23333333333333334,0.0
1321875,-1.4500000000000002,-9.4,-1.5,0.3,-0.2,-0.0
1322577,-1.3,-8.6,-1.55,-0.1,-0.0,-0.2
1323207,-1.15,-8.3,-1.6,0.0,-0.0,0.0
1323836,-1.0,-8.6,-1.8,-0.2,-0.1,0.0
1324545,-1.5,-10.9,-2.0,0.6,-0.2,0.0
1325126,-1.7,-10.4,-2.7,0.6,-0.2,0.2
1325697,-1.25,-9.9,-1.9500000000000002,0.4,-0.2,-0.1
1326386,-0.8,-8.8,-1.2,0.2,-0.1,0.0
1326996,-0.8,-7.8,-1.25,0.30000000000000004,0.0,0.1
1327586,-1.5,-8.7,-1.3,0.4,-0.1,0.1
1328295,-1.0,-10.1,-1.05,0.6,-0.2,0.1
1328936,-1.7,-9.5,-0.8,0.19999999999999996,-0.2,0.0
1329657,-2.4,-11.4,-0.55,-0.2,-0.16666666666666669,-0.1
1330256,-1.5499999999999998,-9.5,-0.3,0.0,-0.13333333333333336,-0.1
1330936,-0.7,-9.0,-0.8,0.0,-0.1,-0.1
1331457,-1.0,-8.8,-1.9,-0.1,-0.1,0.033333333333333326
1332156,-1.1,-10.6,0.33333333333333304,1.2,-0.1,0.16666666666666666
1332786,-1.8,-8.2,2.566666666666666,1.6,-0.1,0.3
1333497,-4.7,-0.25,4.8,3.7,-0.1,-0.5
1334096,-6.449999999999999,7.7,4.266666666666667,-0.9,0.7,-0.3
1334726,-8.2,3.3,3.7333333333333334,-1.5,0.5,-0.3
1335336,-9.0,2.2,3.2,0.2,0.5,-0.3
