timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3941251,2.1,9.2,-3.5,0.1,-0.1,-0.0
3941766,2.1,9.2,-3.4,0.2,-0.1,-0.0
3942367,2.25,9.1,-3.2,-0.14999999999999997,-0.1,-0.0
3942907,2.4,9.7,-1.7,-0.5,0.0,-0.0
3943566,2.5,9.8,-0.75,0.0,-0.05,-0.1
3944136,2.0,9.6,0.2,0.3,-0.1,-0.1
3944766,2.4,9.7,0.3,0.2,-0.1,0.0
3945396,2.8,10.0,-0.5,0.1,-0.1,0.0
3945997,2.7,9.8,0.6,-0.0,-0.1,-0.1
3946596,2.2,9.9,0.8,-0.2,-0.1,-0.2
3947196,2.7,9.9,-0.3,-0.6,0.0,0.0
3947826,2.3,9.9,-0.5,0.4,-0.2,-0.05
3948496,1.9,9.7,-1.2,-0.2,-0.15000000000000002,-0.1
3949146,2.2,9.6,-2.05,0.0,-0.1,0.1
3949836,2.0,9.3,-2.9,-0.1,-0.2,0.1
3950376,2.1,9.1,-2.65,0.0,-0.2,0.1
3951006,2.9,9.4,-2.4,0.3,-0.15000000000000002,-0.0
3951726,3.5,9.2,-0.6,0.3,-0.1,-0.0
3952326,2.9,9.0,-2.9,-0.2,-0.1,-0.2
3952956,0.4,9.6,-2.1,0.0,0.0,-0.1
3953556,3.2,9.6,-1.3,0.3,0.0,0.0
3954125,4.6,9.6,-2.1,-1.2,-0.05,-0.0
3954666,3.3499999999999996,9.8,-2.2,0.3,-0.1,-0.0
3955266,2.1,9.4,-1.0,-0.8,-0.0,-0.1
3955806,2.4,9.7,-1.1,0.2,-0.05,-0.0
3956375,2.4,10.6,-0.9,0.2,-0.1,-0.0
3957005,2.6,9.649999999999999,-1.9,0.4,-0.1,-0.0
3957576,2.2,8.7,-2.5,0.2,-0.1,-0.1
3958176,1.9,8.8,-2.1,-0.0,-0.1,-0.0
3958746,2.4,9.6,-1.3,-0.1,-0.1,-0.05
3959365,2.2,10.0,-0.6,0.0,-0.1,-0.1
3959946,2.2,10.7,-0.4,-0.1,-0.1,-0.0
3960516,1.9,10.149999999999999,-1.2,0.19999999999999998,-0.1,0.0
3961085,2.0,9.6,-2.15,0.5,-0.2,-0.0
3961835,2.0,9.1,-3.1,0.2,-0.1,-0.0
3962466,2.0,9.5,-2.2,-0.4,-0.05,-0.0
3963066,2.2,9.9,-1.5,-0.6,0.0,-0.1
3963666,1.8,9.8,-1.7,0.2,-0.1,-0.1
3964266,2.0,10.2,-1.9,-0.0,-0.1,0.0
3964866,2.2,9.149999999999999,-3.4,0.4,-0.2,0.0
3965435,1.7,8.1,-3.0,0.4,-0.15000000000000002,-0.0
3966156,1.8,8.7,-4.1,0.1,-0.1,-0.0
3966816,2.1,8.866666666666665,-3.9,0.4,-0.15000000000000002,0.0
3967476,2.4,9.033333333333333,-2.8,0.4,-0.2,0.1
3968106,2.8,9.2,-2.5,0.2,-0.1,-0.1
3968795,2.1,10.1,-3.0,0.0,-0.1,-0.0
3969366,1.8,8.6,-3.8,-0.2,-0.0,-0.1
3969965,2.0,8.1,-4.8,0.5,-0.1,-0.0
3970536,1.8,8.6,-4.5,-0.0,0.0,-0.1
3971135,1.9500000000000002,9.1,-3.1,-0.6,0.1,-0.1
3971706,2.1,9.8,-2.9000000000000004,-0.3,0.0,-0.0
3972276,2.0,9.7,-2.7,0.2,-0.1,0.0
3972944,1.9,10.5,-2.3,0.30000000000000004,-0.1,-0.0
3973505,1.7999999999999998,8.4,-3.2666666666666666,0.4,-0.1,-0.0
3974134,1.7,8.5,-4.233333333333333,0.3,-0.1,-0.0
3974765,1.7,8.3,-5.2,0.1,-0.1,-0.0
3975395,1.8,8.966666666666667,-5.0,0.2,-0.1,-0.0
3976055,1.8,9.633333333333335,-2.8,0.3,-0.1,-0.1
3976746,1.8,10.3,-3.2,0.5,-0.1,-0.0
3977406,2.1,9.5,-4.8,0.7,-0.2,0.0
3978036,1.5,8.7,-3.3,-0.1,-0.0,0.0
3978695,1.6,8.8,-4.5,0.1,-0.1,-0.0
3979265,1.7,8.7,-4.7,0.0,-0.1,-0.0
3979895,1.7,8.6,-4.2,0.3,-0.1,0.0
3980585,2.4,8.7,-4.7,-0.3,0.0,-0.0
3981275,1.7,9.1,-4.5,0.1,-0.1,0.0
3981915,2.1,8.933333333333334,-3.4,-0.4,0.0,0.0
3982505,1.9,8.766666666666666,-4.1,-0.25,-0.1,-0.1
3983166,1.7999999999999998,8.6,-4.3,-0.1,-0.1,-0.1
3983844,1.7,9.3,-4.5,0.4,-0.1,-0.1
3984435,1.4,8.8,-4.7,0.6,-0.1,-0.1
3985055,1.4,8.3,-4.0,0.15000000000000002,-0.1,0.0
3985715,1.7,8.75,-4.8,-0.3,0.0,0.1
3986375,1.8,9.2,-4.4,0.4,-0.2,-0.0
3987035,1.6,9.6,-5.0,-0.2,-0.1,0.0
3987645,2.0,7.9,-4.6,-0.1,-0.1,0.0
3988235,1.9,6.2,-3.6,-0.0,-0.1,-0.1
3988895,1.8,8.3,-5.0,0.6,-0.2,-0.0
3989465,1.4,7.6,-5.0,0.1,-0.1,0.0
3990185,1.7,8.8,-4.65,0.05,-0.1,-0.0
3990785,1.7,9.1,-4.3,-0.0,-0.1,0.0
3991445,1.9,10.0,-4.1,0.15,-0.1,0.0
3992115,1.8,8.7,-5.5,0.3,-0.1,-0.0
3992795,1.7,7.6,-5.9,0.3,-0.1,-0.1
3993395,1.6,8.4,-5.4,0.5,-0.1,0.0
3993995,1.9,7.8,-5.8,0.1,-0.06666666666666668,0.0
3994625,1.5,7.6,-5.2,-0.1,-0.03333333333333334,-0.0
3995225,1.3,8.0,-5.7,-0.3,-0.0,0.0
3995834,1.5,8.45,-4.0,-0.0,-0.05,-0.0
3996395,1.8,8.9,-4.4,-0.1,-0.1,0.0
3997025,1.7,9.1,-4.2,0.4,-0.2,-0.0
3997595,0.9,6.6,-7.4,0.7,-0.2,-0.1
3998225,1.0,6.5,-11.1,0.9,-0.2,0.0
3998855,0.7,4.0,-7.9,0.9,-0.3,0.1
3999425,1.6,5.2,-6.4,-1.0,0.0,0.0
3999995,-0.8,-3.3,7.8,-1.0,0.7,0.0
