timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
661622,-3.3,-8.3,-2.8,0.7,-0.4,0.1
662135,-4.0,-9.0,-2.5,0.1,-0.2,-0.0
662706,-3.0,-8.1,-4.2,-0.9,0.4,-0.3
663246,-0.4,-1.5,-7.6,-1.7,0.15000000000000002,-0.0
663845,-1.5,-4.9,-8.1,0.2,-0.1,0.0
664416,-2.5,-7.2,-4.6,0.9,-0.4,-0.0
664956,-3.4,-9.2,-1.7,0.4,-0.4,0.0
665526,-4.6,-10.2,-2.1,-0.6,0.1,-0.1
666125,-3.2,-7.6,-4.4,-1.1,0.5,-0.0
666666,-1.0,-3.6,-7.4,-0.6,0.3,-0.2
667265,-0.8,-3.8,-8.4,0.3,-0.2,-0.1
667835,-2.2,-7.5,-5.4,1.0,-0.3,0.0
668436,-3.8,-9.5,-1.4,0.3,-0.3,0.1
669036,-4.5,-10.4,-1.0,-0.4,0.1,0.05
669675,-2.7,-6.8,-5.1,-0.6,0.2,-0.0
670175,-1.0,-3.8,-6.9,-0.0,0.0,-0.2
670776,-1.6,-4.3,-8.8,0.5,-0.3,-0.1
671316,-1.7,-7.0,-5.3,-0.1,0.1,-0.1
671946,-4.8,-10.0,-1.5,0.6,-0.6,0.5
672545,-5.4,-9.7,-0.5,-0.1,0.1,-0.2
673085,-4.0,-7.7,-3.8,-1.2,0.6,-0.0
673656,-1.4,-4.6,-7.2,-0.5,0.3,-0.2
674316,-0.9,-4.2,-9.1,0.5,-0.2,-0.1
674856,-2.1,-6.8,-5.2,0.6,-0.4,0.1
675396,-3.9,-9.8,-0.5,0.4,-0.3,0.0
676026,-4.5,-10.1,0.2,0.1,-0.1,0.0
676596,-4.1,-9.3,-2.0,-0.9,0.1,-0.1
677136,-2.3,-5.7,-5.7,-0.9,0.3,-0.2
677706,-0.5,-5.5,-10.1,0.8,-0.4,-0.1
678276,-1.5,-5.3,-6.8,0.5,-0.2,-0.1
678816,-2.2,-8.2,-3.4,1.0,-0.5,0.1
679416,-4.4,-9.4,-0.4,0.3,-0.2,0.0
680016,-4.6,-10.4,-0.9,-0.6,0.3,-0.1
680585,-2.9,-6.9,-4.0,-0.8,0.3,-0.0
681125,-1.2,-4.2,-7.6,-0.4,0.2,-0.2
681696,-0.8,-4.6,-8.7,0.5,-0.3,0.0
682266,-2.6,-7.3,-5.0,0.7,-0.3,0.1
682806,-3.7,-9.0,-0.2,1.0,-0.5,0.0
683346,-4.1,-10.5,-0.6,0.0,-0.1,-0.1
683916,-3.0,-8.4,-3.7,-1.1,0.5,-0.1
684456,-1.2,-5.2,-7.0,-0.5,0.1,-0.1
684996,-1.3,-3.9,-8.2,0.1,-0.1,-0.1
685596,-0.8,-4.4,-8.0,0.7,-0.3,-0.1
686166,-3.3,-8.8,-2.4,0.9,-0.4,0.2
686766,-4.6,-10.7,0.0,0.5,-0.1,0.0
687366,-4.2,-9.9,-2.0,-0.8,0.4,-0.1
687936,-1.4,-5.2,-6.4,0.1,-0.0,-0.2
688505,-1.1,-4.1,-8.7,0.6,-0.3,-0.1
689106,-1.7,-5.1,-6.2,-0.2,-0.0,-0.1
689675,-3.1,-8.0,-3.7,0.7,-0.1,0.2
690246,-3.6500000000000004,-10.4,-2.7,0.6,-0.2,-0.0
690816,-4.2,-9.9,-1.7,-0.5,0.3,-0.1
691446,-2.55,-5.2,-5.6,-1.1,0.4,-0.2
692014,-0.9,-3.3,-8.9,0.9,-0.3,0.0
692585,-1.6,-5.6,-5.4,-0.4,0.1,-0.0
693156,-2.9000000000000004,-8.7,-2.6,1.5,-0.7,0.2
693815,-4.2,-9.4,0.4,0.2,-0.19999999999999996,0.0
694416,-4.7,-9.4,-1.1,-0.7,0.3,-0.0
694986,-3.0,-7.0,-5.3,-0.7,0.4,-0.3
695525,-0.2,-4.3,-8.6,-0.3,0.1,-0.1
696095,-0.9,-4.3,-8.0,0.4,-0.3,-0.1
696696,-1.6,-7.7,-4.7,1.1,-0.3,-0.1
697265,-3.9,-10.8,0.9,1.0,-0.5,0.3
697805,-4.1,-8.0,2.3,-0.2,0.2,-0.0
698375,-4.0,-8.2,3.5,-0.1,-0.1,-0.1
698916,-2.7,-8.8,3.2,-0.1,-0.1,-0.1
