timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2480066,0.6,1.6,9.5,-0.1,-0.1,0.0
2480582,0.1,0.7,9.5,-0.2,0.0,-0.0
2481212,0.5,0.4,9.5,-0.9,0.0,-0.1
2481842,0.4,1.4500000000000002,11.2,0.5,-0.1,-0.1
2482412,0.3,2.5,9.4,1.6,-0.4,-0.1
2483102,0.7,2.0,11.8,-0.1,-0.2,-0.1
2483702,0.6,0.8999999999999999,13.3,-0.7,0.1,-0.1
2484362,-0.3,-0.2,4.6,0.6,-0.2,-0.05
2484971,1.3,2.8,13.8,0.3,-0.1,-0.0
2485562,0.3,1.9,12.4,-0.1,-0.0,-0.0
2486252,0.4,1.0,6.1,1.0,-0.15,-0.0
2486972,0.4,2.1,10.3,1.3,-0.3,-0.0
2487602,0.5,2.5,10.9,-0.1,0.0,-0.0
2488172,-0.1,2.0,4.8,0.7,-0.3,-0.03333333333333333
2488812,0.2,1.5,11.8,-1.0,0.2,-0.06666666666666667
2489412,0.4,2.6,10.1,-0.2,0.1,-0.1
2489972,0.1,0.9,6.1,-0.1,-0.0,-0.1
2490642,0.0,1.7000000000000002,10.5,0.3,-0.0,-0.1
2491202,-0.0,2.5,10.633333333333333,-0.0,-0.1,-0.0
2491802,0.2,-0.1,10.766666666666667,0.7,-0.3,-0.0
2492492,0.4,1.9,10.9,-0.3,0.1,0.0
2493131,0.1,1.9,10.933333333333334,-0.5,0.1,-0.0
2493663,0.13333333333333333,1.3,10.966666666666667,0.2,-0.1,0.0
2494262,0.16666666666666669,2.1,11.0,-1.1,-0.1,-0.0
2494951,0.2,2.7,10.733333333333333,-0.3500000000000001,-0.1,-0.1
2495583,0.6,3.3,10.466666666666667,0.4,-0.1,-0.1
2496152,0.9,2.8,10.2,0.6,-0.1,-0.0
2496692,1.0,2.2,9.3,-0.0,-0.1,-0.1
2497292,0.9,2.5,10.1,-0.1,0.0,-0.1
2497862,0.5,3.0,9.5,0.2,-0.1,-0.1
2498402,0.5,4.0,7.7,0.4,-0.2,-0.0
2498942,1.7,5.3,7.7,0.2,-0.04999999999999999,0.1
2499512,1.5,5.9,7.45,-0.6,0.1,-0.1
2500112,1.6,6.5,7.2,1.9,-0.5,-0.0
2500742,2.4,7.1000000000000005,4.0,-0.6,0.1,-0.0
2501373,2.1,7.7,6.2,-0.0,0.0,-0.0
2502032,2.1500000000000004,7.9,5.9,0.2,-0.1,0.0
2502642,2.2,8.1,5.7,0.1,-0.1,0.0
2503311,2.2,8.2,5.5,0.1,-0.1,-0.0
2503922,2.2,8.2,5.5,0.1,-0.1,-0.0
2504491,2.2,8.3,5.45,0.1,-0.1,-0.0
2505123,2.2,8.2,5.4,0.1,-0.1,-0.0
2505722,2.2,8.3,5.4,0.1,-0.1,-0.0
2506322,2.2,8.3,5.4,0.1,-0.1,-0.0
2506952,2.2,8.3,5.4,0.1,-0.1,-0.0
2507552,2.2,8.3,5.3,0.1,-0.1,-0.0
2508152,2.2,8.3,5.3,0.1,-0.1,-0.0
