timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1374173,-2.2,-8.6,-3.7,0.3,-0.1,-0.1
1374814,-1.1,-8.6,-3.75,0.3,-0.0,-0.1
1375533,-1.3,-8.6,-3.8,0.3,-0.2,-0.1
1376194,-1.5,-8.6,-3.925,0.3,-0.1,-0.1
1376814,-1.7000000000000002,-8.8,-4.05,0.2,-0.1,-0.05
1377603,-1.9000000000000001,-8.5,-4.175,0.1,0.09999999999999998,0.0
1378254,-2.1,-8.4,-4.3,-0.1,0.29999999999999993,-0.0
1378884,-1.2,-4.8,-7.7,-2.2,0.5,-0.1
1379484,0.2,0.3,-9.5,-0.3,0.0,0.1
1380144,0.5,1.6500000000000001,-11.1,-0.2,0.0,0.1
1380774,0.8,3.0,-9.2,-0.5,-0.0,0.1
1381375,1.0,2.1,-7.8,0.0,-0.0,0.1
1381974,1.0,-0.5,-8.133333333333333,-0.2,-0.1,0.0
1382604,1.0,3.3,-8.466666666666667,-0.4,-0.1,-0.1
1383205,-0.2,3.0,-8.8,-0.3,-0.1,-0.05
1383874,0.0,5.6,-7.833333333333334,-0.19999999999999998,0.1,0.0
1384494,0.375,6.2,-6.866666666666667,-0.1,-0.2,-0.1
1385093,0.75,4.4,-5.9,-1.5,-0.15000000000000002,0.0
1385875,1.125,2.4,-7.5,-0.55,-0.1,-0.05
1386514,1.5,4.9,-8.0,0.4,-0.2,-0.1
1387074,1.1,4.6,-10.4,0.45,-0.1,-0.0
1387734,0.8,3.8,-9.1,0.5,-0.2,-0.0
1388364,1.0,2.75,-9.2,0.5,-0.1,-0.0
1389054,1.5,1.7,-9.3,0.1,-0.1,-0.1
1389684,1.7,2.9,-9.066666666666666,-0.1,-0.1,-0.1
1390314,1.0,2.466666666666667,-8.833333333333334,0.05000000000000002,-0.1,-0.0
1391035,1.25,2.033333333333333,-8.6,0.2,-0.1,0.0
1391704,1.5,1.6,-7.8,-0.14999999999999997,-0.1,-0.0
1392354,1.5333333333333334,1.6,-9.15,-0.5,-0.1,-0.1
1393014,1.5666666666666667,5.2,-10.5,-0.4,-0.1,-0.1
1393643,1.6,4.1,-8.8,0.8,-0.1,0.1
1394274,1.5,2.5,-8.3,0.4,-0.1,-0.0
1394875,0.8,1.4,-7.3,0.2,-0.2,-0.1
1395534,-0.1,4.5,-8.7,0.1,-0.2,-0.1
1396134,0.9,7.6,-10.3,-0.0,-0.2,0.0
1396764,1.1,4.2,-8.5,1.0,-0.2,0.1
1397424,1.6,2.2,-7.3,0.5666666666666667,-0.0,0.0
1398054,1.2,2.2,-10.2,0.1333333333333333,-0.1,0.0
1398664,1.2,4.3,-8.9,-0.3,-0.0,0.0
1399293,1.4,5.1,-10.1,0.0,-0.0,0.0
1399824,1.0,2.7,-9.2,0.3,0.05,0.0
1400484,0.95,1.4,-6.5,-0.7,0.1,0.0
1401083,0.9,0.2,-10.1,-0.36666666666666664,-0.0,0.0
1401684,1.1,2.9,-9.5,-0.033333333333333326,-0.1,-0.1
1402224,1.3,4.7,-10.1,0.3,-0.1,-0.0
1402764,1.3,4.6,-8.2,0.3,-0.03333333333333334,-0.0
1403364,0.3,2.3,-7.7,0.3,0.033333333333333326,-0.1
1403963,1.4,0.8,-8.7,0.25,0.1,-0.1
1404592,0.8,2.6000000000000005,-9.8,0.2,-0.2,-0.1
1405164,0.7,4.4,-10.6,-0.1,-0.1,0.0
1405734,0.6,2.6,-9.3,0.6,0.0,0.1
1406364,1.2,2.1,-8.5,-0.6,0.1,0.1
1407053,0.8,1.2000000000000002,-8.3,1.0,-0.3,-0.0
1407652,0.6,0.3,-8.8,-0.1,-0.1,-0.05
1408263,0.3,2.1,-11.1,-0.8,-0.0,-0.1
1408853,0.8,2.5,-9.6,-0.2,0.1,-0.0
1409454,1.1,1.3,-8.7,0.7,-0.2,0.0
1410083,1.8,0.1,-9.25,-0.0,-0.0,-0.1
1410713,0.8,-1.0,-9.8,0.1,-0.3,-0.1
1411403,0.1,1.3,-11.1,-0.3,-0.04999999999999999,-0.1
1412093,-3.3499999999999996,8.2,-4.2,-1.6,0.2,-0.9
1412753,-6.8,7.6,4.0,-1.6,0.5,-0.55
1413453,-7.3,5.8,2.4,-1.6,0.2,-0.2
1414043,-7.3,5.8,2.4,-1.6,0.2,-0.2
