timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3119500,1.4,8.3,-6.2,1.9,-0.5,-0.1
3120078,2.1,9.1,-2.9,1.2666666666666666,-0.1,0.1
3120647,2.7,9.3,-2.3,0.6333333333333333,-0.1,-0.0
3121218,2.5,9.4,-2.5,-0.0,-0.1,-0.1
3121818,2.4,9.45,-2.1,-0.0,-0.1,-0.0
3122417,2.7,9.5,-1.9,0.1,-0.1,0.0
3123057,2.5,9.5,-2.1,-0.0,-0.1,-0.0
3123587,3.2,9.8,-0.7,-0.1,-0.1,-0.1
3124158,1.6,9.8,-1.1,-0.3,-0.1,0.0
3124757,2.9,9.8,-0.8,0.2,-0.2,-0.0
3125387,2.5,9.6,1.3,0.1,-0.1,-0.1
3125927,2.4,9.7,0.2,0.1,0.0,-0.0
3126467,2.5,10.1,0.1,0.1,-0.0,-0.1
3127006,2.3,9.7,0.1,0.3,-0.1,-0.0
3127547,1.5,9.1,0.7,-0.1,-0.0,0.1
3128087,4.6,9.6,1.1,-0.2,-0.1,-0.1
3128657,2.2,9.3,1.3,-0.3,-0.1,0.0
3129228,3.2,8.7,1.8,-0.2,-0.1,0.0
3129768,3.1500000000000004,9.4,2.4,0.1,-0.1,-0.2
3130368,3.1,10.8,3.2,0.1,-0.1,0.0
3130938,2.9,9.4,2.7,0.3,-0.2,-0.0
3131507,2.55,7.5,2.6,0.2,-0.1,-0.1
3132167,2.2,9.5,2.5,0.2,-0.0,-0.0
3132768,2.0,8.8,3.8,-0.3,-0.0,0.1
3133368,3.1,10.8,4.4,0.3,-0.2,-0.2
3134028,2.7,9.8,3.2,0.1,-0.2,-0.0
3134658,2.3,8.3,2.2,0.3,-0.1,-0.1
3135288,2.7,9.3,2.8,0.2,-0.0,-0.0
3135917,3.1,8.850000000000001,2.4,0.3,-0.1,0.0
3136528,2.5,8.4,2.2,0.1,-0.1,-0.0
3137087,2.8,9.4,3.1,0.1,-0.2,-0.1
3137627,2.6,10.1,3.4,0.1,-0.3,-0.0
3138228,3.2,9.1,3.4,0.1,-0.2,0.1
3138768,2.9,8.0,1.9,0.5,-0.1,-0.2
3139337,2.2,9.3,2.0,-0.0,0.1,-0.1
3139977,2.2,8.7,2.6,-0.3,0.1,0.0
3140538,2.3,8.9,3.9,-0.1,-0.1,0.0
3141147,2.6,9.9,4.8,0.2,-0.3,-0.0
3141708,3.1,9.5,4.6,0.1,-0.2,-0.1
3142307,2.0,9.5,2.7,0.1,-0.0,-0.1
3142847,2.5,9.5,2.8,0.1,0.0,0.0
3143447,2.4,8.6,2.9,0.1,-0.05,0.0
3144047,2.5,8.7,4.5,-0.1,-0.1,-0.1
3144616,3.1,10.0,4.9,0.2,-0.2,-0.0
3145187,2.7,9.1,4.7,0.5,-0.3,-0.1
3145788,2.6333333333333333,7.1,2.1,0.2,-0.2,-0.1
3146387,2.566666666666667,9.5,2.1,0.3,-0.1,-0.06666666666666668
3146966,2.5,7.9,3.4000000000000004,0.2,-0.0,-0.03333333333333334
3147567,3.2,9.4,4.7,-0.0,-0.1,-0.0
3148127,3.3,10.6,4.5,-0.3,-0.0,-0.1
3148697,2.3,9.3,3.1,0.4,-0.1,-0.1
3149357,2.3,10.0,3.2,0.4,-0.2,-0.05
3150027,2.0,7.7,3.0,0.3,-0.2,-0.0
3150587,2.6,9.3,4.9,-0.1,-0.1,-0.03333333333333333
3151166,3.5,12.1,4.9,0.2,-0.2,-0.06666666666666667
3151827,2.2,9.3,3.3,0.1,-0.1,-0.1
3152357,2.3,8.850000000000001,3.4,0.15000000000000002,-0.1,0.0
3152958,2.3,8.4,2.3,0.2,-0.1,-0.05
3153626,2.3,8.6,3.0999999999999996,0.4,-0.1,-0.1
3154157,3.5,11.2,3.9,0.1,-0.2,0.0
3154757,3.1,9.3,2.3,0.0,-0.16666666666666669,-0.1
3155357,3.1500000000000004,7.9,2.0,0.2,-0.13333333333333336,-0.1
3155958,3.2,9.7,1.4,0.3,-0.1,-0.1
3156587,2.3,8.0,2.3,-0.5,0.1,0.0
3157187,3.2,9.4,4.0,-0.2,0.0,-0.0
3157757,4.8,12.1,4.1,0.3,-0.2,-0.0
3158387,3.0,9.3,2.5,0.5,-0.2,0.0
3158997,3.15,8.9,2.4,0.2,-0.1,0.0
3159626,3.3,8.6,3.05,-0.1,0.0,-0.0
3160247,3.45,8.7,3.7,-0.0,-0.0,-0.1
3160876,3.6,12.5,3.55,-0.1,-0.1,-0.0
3161477,3.0,9.2,3.4,0.2,-0.2,-0.1
3162047,2.1,7.0,2.0,0.1,-0.1,-0.0
3162617,2.9,9.6,1.2,0.0,0.0,0.0
3163157,3.3,9.5,1.6,0.0,0.0,0.0
